id,if,第一次归一化结果,权重调整后结果,加类型值结果,第二次归一化结果(C_print),文献类型,类型值
1,8.4,0.7636363636363637,0.6872727272727274,1.6872727272727275,0.8436363636363637,综述,1.0
2,46.8,0.618307426597582,0.9618307426597582,1.7618307426597584,0.8809153713298792,研究型,0.8
3,26.8,0.27288428324697755,0.9272884283246978,1.7272884283246979,0.8636442141623489,研究型,0.8
4,68.9,1.0,1.0,2.0,1.0,综述,1.0
5,4.6,0.41818181818181815,0.37636363636363634,1.3763636363636365,0.6881818181818182,综述,1.0
6,43.7,0.5647668393782384,0.9564766839378238,1.7564766839378239,0.8782383419689119,研究型,0.8
7,35.2,0.41796200345423146,0.9417962003454232,1.9417962003454232,0.9708981001727116,综述,1.0
8,26.8,0.27288428324697755,0.9272884283246978,1.9272884283246978,0.9636442141623489,综述,1.0
9,67.5,0.9758203799654576,0.9975820379965458,1.9975820379965459,0.9987910189982729,综述,1.0
10,14.1,0.05354058721934368,0.9053540587219344,1.7053540587219345,0.8526770293609672,研究型,0.8
11,46.8,0.618307426597582,0.9618307426597582,1.7618307426597584,0.8809153713298792,研究型,0.8
12,8.1,0.7363636363636363,0.6627272727272727,1.4627272727272729,0.7313636363636364,研究型,0.8
13,46.8,0.618307426597582,0.9618307426597582,1.7618307426597584,0.8809153713298792,研究型,0.8
14,20.2,0.15889464594127803,0.9158894645941278,1.9158894645941278,0.9579447322970639,综述,1.0
15,10.3,0.9363636363636364,0.8427272727272728,1.6427272727272728,0.8213636363636364,研究型,0.8
16,17.2,0.10708117443868737,0.9107081174438687,1.7107081174438687,0.8553540587219344,研究型,0.8
17,16.4,0.09326424870466318,0.9093264248704663,1.7093264248704663,0.8546632124352331,研究型,0.8
18,67.5,0.9758203799654576,0.9975820379965458,1.9975820379965459,0.9987910189982729,综述,1.0
19,34.1,0.39896373056994816,0.9398963730569948,1.9398963730569947,0.9699481865284973,综述,1.0
20,17.2,0.10708117443868737,0.9107081174438687,1.7107081174438687,0.8553540587219344,研究型,0.8
21,8.1,0.7363636363636363,0.6627272727272727,1.4627272727272729,0.7313636363636364,研究型,0.8
22,8.1,0.7363636363636363,0.6627272727272727,1.4627272727272729,0.7313636363636364,研究型,0.8
23,17.2,0.10708117443868737,0.9107081174438687,1.7107081174438687,0.8553540587219344,研究型,0.8
24,26.8,0.27288428324697755,0.9272884283246978,1.7272884283246979,0.8636442141623489,研究型,0.8
25,17.2,0.10708117443868737,0.9107081174438687,1.7107081174438687,0.8553540587219344,研究型,0.8
26,17.2,0.10708117443868737,0.9107081174438687,1.7107081174438687,0.8553540587219344,研究型,0.8
27,17.2,0.10708117443868737,0.9107081174438687,1.7107081174438687,0.8553540587219344,研究型,0.8
28,20.2,0.15889464594127803,0.9158894645941278,1.9158894645941278,0.9579447322970639,综述,1.0
29,8.1,0.7363636363636363,0.6627272727272727,1.4627272727272729,0.7313636363636364,研究型,0.8
30,3.2,0.29090909090909095,0.26181818181818184,1.061818181818182,0.530909090909091,研究型,0.8
31,3.7,0.33636363636363636,0.30272727272727273,1.1027272727272728,0.5513636363636364,研究型,0.8
32,28.9,0.309153713298791,0.9309153713298791,1.7309153713298793,0.8654576856649396,研究型,0.8
33,35.2,0.41796200345423146,0.9417962003454232,1.7417962003454233,0.8708981001727116,研究型,0.8
34,17.2,0.10708117443868737,0.9107081174438687,1.7107081174438687,0.8553540587219344,研究型,0.8
35,15.6,0.07944732297063901,0.907944732297064,1.707944732297064,0.853972366148532,研究型,0.8
36,35.2,0.41796200345423146,0.9417962003454232,1.9417962003454232,0.9708981001727116,综述,1.0
37,20.8,0.1692573402417962,0.9169257340241797,1.9169257340241797,0.9584628670120898,综述,1.0
38,20.8,0.1692573402417962,0.9169257340241797,1.7169257340241797,0.8584628670120898,研究型,0.8
39,16.4,0.09326424870466318,0.9093264248704663,1.7093264248704663,0.8546632124352331,研究型,0.8
40,16.4,0.09326424870466318,0.9093264248704663,1.7093264248704663,0.8546632124352331,研究型,0.8
41,34.1,0.39896373056994816,0.9398963730569948,1.9398963730569947,0.9699481865284973,综述,1.0
42,17.2,0.10708117443868737,0.9107081174438687,1.7107081174438687,0.8553540587219344,研究型,0.8
43,16.4,0.09326424870466318,0.9093264248704663,1.7093264248704663,0.8546632124352331,研究型,0.8
44,16.4,0.09326424870466318,0.9093264248704663,1.7093264248704663,0.8546632124352331,研究型,0.8
45,19.9,0.15371329879101897,0.915371329879102,1.915371329879102,0.957685664939551,综述,1.0
46,16.4,0.09326424870466318,0.9093264248704663,1.7093264248704663,0.8546632124352331,研究型,0.8
47,35.2,0.41796200345423146,0.9417962003454232,1.7417962003454233,0.8708981001727116,研究型,0.8
48,3.6,0.32727272727272727,0.29454545454545455,1.0945454545454547,0.5472727272727274,研究型,0.8
49,3.8,0.34545454545454546,0.3109090909090909,1.1109090909090908,0.5554545454545454,研究型,0.8
50,3.2,0.29090909090909095,0.26181818181818184,1.061818181818182,0.530909090909091,研究型,0.8
51,40.5,0.5094991364421416,0.9509499136442142,1.7509499136442144,0.8754749568221072,研究型,0.8
52,0.0,0.0,0.0,0.2,0.1,专著,0.2
